question,actual_label,model_prediction,difficulty
Biomolecular identification of allergenic pollen: a new perspective for aerobiological monitoring?,REAL,CORRECT,easy
Does diabetes mellitus influence the efficacy of FDG-PET in the diagnosis of cervical cancer?,HALLUCINATED,HALLUCINATED,medium
Biomechanical and wound healing characteristics of corneas after excimer laser keratorefractive surgery: is there a difference between advanced surface ablation and sub-Bowman's keratomileusis?,REAL,CORRECT,hard
Does radiotherapy of the primary rectal cancer affect prognosis after pelvic exenteration for recurrent rectal cancer?,REAL,CORRECT,easy
Can a practicing surgeon detect early lymphedema reliably?,HALLUCINATED,HALLUCINATED,hard
Colorectal cancer with synchronous liver metastases: does global management at the same centre improve results?,HALLUCINATED,HALLUCINATED.,hard
Is motion perception deficit in schizophrenia a consequence of eye-tracking abnormality?,HALLUCINATED,HALLUCINATED,hard
Transgastric endoscopic splenectomy: is it possible?,HALLUCINATED,HALLUCINATED.,easy
It's Fournier's gangrene still dangerous?,REAL,CORRECT,hard
Is it appropriate to implant kidneys from elderly donors in young recipients?,HALLUCINATED,CORRECT,hard
Do provider service networks result in lower expenditures compared with HMOs or primary care case management in Florida's Medicaid program?,HALLUCINATED,HALLUCINATED.,easy
Assessment of carotid artery stenosis before coronary artery bypass surgery. Is it always necessary?,HALLUCINATED,HALLUCINATED,hard
Should direct mesocolon invasion be included in T4 for the staging of gastric cancer?,REAL,CORRECT,medium
Do Surrogates of Injury Severity Influence the Occurrence of Heterotopic Ossification in Fractures of the Acetabulum?,REAL,CORRECT,hard
Does pretreatment with statins improve clinical outcome after stroke?,REAL,HALLUCINATED,hard
Processing fluency effects: can the content and presentation of participant information sheets influence recruitment and participation for an antenatal intervention?,REAL,CORRECT,hard
Sternal fracture in growing children : A rare and often overlooked fracture?,HALLUCINATED,HALLUCINATED,hard
Is there a correlation between androgens and sexual desire in women?,REAL,CORRECT,medium
Does immediate breast reconstruction compromise the delivery of adjuvant chemotherapy?,REAL,CORRECT,hard
Human papillomavirus and pterygium. Is the virus a risk factor?,HALLUCINATED,HALLUCINATED.,medium
Can PRISM predict length of PICU stay?,REAL,CORRECT,hard
Can predilatation in transcatheter aortic valve implantation be omitted?,HALLUCINATED,HALLUCINATED,hard
Autoerotic asphyxiation: secret pleasure--lethal outcome?,HALLUCINATED,CORRECT,medium
Major depression and alcohol use disorder in adolescence: Does comorbidity lead to poorer outcomes of depression?,HALLUCINATED,HALLUCINATED.,hard
Cold preparation use in young children after FDA warnings: do concerns still exist?,HALLUCINATED,HALLUCINATED,easy
Does a 4 diagram manual enable laypersons to operate the Laryngeal Mask Supreme®?,REAL,CORRECT,easy
Can we measure mesopic pupil size with the cobalt blue light slit-lamp biomicroscopy method?,REAL,CORRECT,medium
Should circumcision be performed in childhood?,REAL,CORRECT,medium
Does a colonoscopy after acute diverticulitis affect its management?,HALLUCINATED,HALLUCINATED,hard
Do instrumental activities of daily living predict dementia at 1- and 2-year follow-up?,REAL,CORRECT,easy
Does the Simultaneous Use of a Neuroendoscope Influence the Incidence of Ventriculoperitoneal Shunt Infection?,HALLUCINATED,HALLUCINATED.,easy
"Body perception: do parents, their children, and their children's physicians perceive body image differently?",HALLUCINATED,CORRECT,hard
Is a specialised training of phonological awareness indicated in every preschool child?,HALLUCINATED,HALLUCINATED.,medium
Is there any relationship between streptococcal infection and multiple sclerosis?,REAL,CORRECT,hard
Is the combination with 2-methoxyestradiol able to reduce the dosages of chemotherapeutices in the treatment of human ovarian cancer?,REAL,CORRECT,hard
Assessing joint line positions by means of the contralateral knee: a new approach for planning knee revision surgery?,REAL,CORRECT,easy
Does the type of tibial component affect mechanical alignment in unicompartmental knee replacement?,HALLUCINATED,HALLUCINATED,easy
Is tumour expression of VEGF associated with venous invasion and survival in pT3 renal cell carcinoma?,HALLUCINATED,CORRECT,hard
Injury and poisoning mortality among young men--are there any common factors amenable to prevention?,REAL,CORRECT,easy
Continuation of pregnancy after antenatal corticosteroid administration: opportunity for rescue?,HALLUCINATED,CORRECT,hard
Does either obesity or OSA severity influence the response of autotitrating CPAP machines in very obese subjects?,REAL,CORRECT,medium
Does the clinical presentation of a prior preterm birth predict risk in a subsequent pregnancy?,REAL,CORRECT,hard
Is the Distance Worth It?,REAL,CORRECT,easy
Aripiprazole: a new risk factor for pathological gambling?,HALLUCINATED,HALLUCINATED.,medium
Immune suppression by lysosomotropic amines and cyclosporine on T-cell responses to minor and major histocompatibility antigens: does synergy exist?,REAL,CORRECT,easy
Does induction chemotherapy have a role in the management of nasopharyngeal carcinoma?,HALLUCINATED,HALLUCINATED.,easy
Treatment of contralateral hydrocele in neonatal testicular torsion: Is less more?,HALLUCINATED,HALLUCINATED,easy
"Are normally sighted, visually impaired, and blind pedestrians accurate and reliable at making street crossing decisions?",REAL,CORRECT,medium
Is it Crohn's disease?,REAL,CORRECT,easy
Is Chaalia/Pan Masala harmful for health?,REAL,CORRECT,hard
Does multi-modal cervical physical therapy improve tinnitus in patients with cervicogenic somatic tinnitus?,REAL,CORRECT,hard
Detailed analysis of sputum and systemic inflammation in asthma phenotypes: are paucigranulocytic asthmatics really non-inflammatory?,HALLUCINATED,CORRECT,medium
Is HIV/STD control in Jamaica making a difference?,HALLUCINATED,CORRECT,medium
Is Panton-Valentine leucocidin associated with the pathogenesis of Staphylococcus aureus bacteraemia in the UK?,REAL,CORRECT,medium
Are even impaired fasting blood glucose levels preoperatively associated with increased mortality after CABG surgery?,HALLUCINATED,HALLUCINATED.,easy
Does positron emission tomography change management in primary rectal cancer?,HALLUCINATED,CORRECT,medium
Can you deliver accurate tidal volume by manual resuscitator?,HALLUCINATED,HALLUCINATED.,medium
Can increases in the cigarette tax rate be linked to cigarette retail prices?,HALLUCINATED,CORRECT,hard
Vertical lines in distal esophageal mucosa (VLEM): a true endoscopic manifestation of esophagitis in children?,HALLUCINATED,HALLUCINATED.,medium
Does hypoglycaemia increase the risk of cardiovascular events?,REAL,CORRECT,medium
Does the radiographic transition zone correlate with the level of aganglionosis on the specimen in Hirschsprung's disease?,HALLUCINATED,HALLUCINATED.,hard
Is dexamethasone an effective alternative to oral prednisone in the treatment of pediatric asthma exacerbations?,REAL,CORRECT,medium
Mammographic screening in Sami speaking municipalities and a control group. Are early outcome measures influenced by ethnicity?,REAL,CORRECT,easy
Do Electrochemiluminescence Assays Improve Prediction of Time to Type 1 Diabetes in Autoantibody-Positive TrialNet Subjects?,REAL,CORRECT,easy
Assessment of appropriate antimicrobial prescribing: do experts agree?,REAL,CORRECT,easy
Is there a favorable subset of patients with prostate cancer who develop oligometastases?,HALLUCINATED,CORRECT,hard
Cycloplegic autorefraction in young adults: is it mandatory?,HALLUCINATED,HALLUCINATED,hard
Does screening or surveillance for primary hepatocellular carcinoma with ultrasonography improve the prognosis of patients?,REAL,CORRECT,medium
"""Would a man smell a rose then throw it away?",REAL,CORRECT,hard
Department of Transportation vs self-reported data on motor vehicle collisions and driving convictions for stroke survivors: do they agree?,HALLUCINATED,CORRECT,hard
"Neoadjuvant Imatinib in Locally Advanced Gastrointestinal stromal Tumours, Will Kit Mutation Analysis Be a Pathfinder?",REAL,CORRECT,medium
Does the lipid-lowering peroxisome proliferator-activated receptors ligand bezafibrate prevent colon cancer in patients with coronary artery disease?,REAL,CORRECT,easy
Does self-efficacy mediate the relationship between transformational leadership behaviours and healthcare workers' sleep quality?,HALLUCINATED,HALLUCINATED.,medium
Does microbial contamination influence the success of the hematopoietic cell transplantation outcomes?,REAL,CORRECT,hard
Very high serum CA 19-9 levels: a contraindication to pancreaticoduodenectomy?,HALLUCINATED,HALLUCINATED.,easy
Perioperative care in an animal model for training in abdominal surgery: is it necessary a preoperative fasting?,REAL,CORRECT,hard
Are physicians aware of the side effects of angiotensin-converting enzyme inhibitors?,HALLUCINATED,HALLUCINATED,hard
Residual fundus or neofundus after laparoscopic sleeve gastrectomy: is fundectomy safe and effective as revision surgery?,HALLUCINATED,CORRECT,hard
Are physician estimates of asthma severity less accurate in black than in white patients?,REAL,CORRECT,hard
Does laparoscopic surgery decrease the risk of atrial fibrillation after foregut surgery?,HALLUCINATED,HALLUCINATED.,easy
"The Main Gate Syndrome: a new format in mass-casualty victim ""surge"" management?",HALLUCINATED,HALLUCINATED.,hard
Do communication disorders extend to musical messages?,REAL,CORRECT,easy
Do patients with rheumatoid arthritis established on methotrexate and folic acid 5 mg daily need to continue folic acid supplements long term?,HALLUCINATED,HALLUCINATED.,medium
Can infundibular height predict the clearance of lower pole calyceal stone after extracorporeal shockwave lithotripsy?,HALLUCINATED,HALLUCINATED.,medium
Does lung ischemia and reperfusion have an impact on coronary flow?,REAL,CORRECT,hard
Is a patient's self-reported health-related quality of life a prognostic factor for survival in non-small-cell lung cancer patients?,REAL,CORRECT,easy
Transient tachypnea of the newborn (TTN): a role for polymorphisms in the beta-adrenergic receptor (ADRB) encoding genes?,HALLUCINATED,HALLUCINATED,easy
Is duration of psychological treatment for depression related to return into treatment?,HALLUCINATED,CORRECT,easy
Does shaving the incision site increase the infection rate after spinal surgery?,REAL,CORRECT,easy
The influence of atmospheric pressure on aortic aneurysm rupture--is the diameter of the aneurysm important?,REAL,CORRECT,hard
Do French lay people and health professionals find it acceptable to breach confidentiality to protect a patient's wife from a sexually transmitted disease?,HALLUCINATED,HALLUCINATED.,hard
Do somatic complaints predict subsequent symptoms of depression?,HALLUCINATED,HALLUCINATED.,easy
Are women with major depression in pregnancy identifiable in population health data?,HALLUCINATED,HALLUCINATED.,easy
Remote ischemic postconditioning: does it protect against ischemic damage in percutaneous coronary revascularization?,HALLUCINATED,CORRECT,easy
Does combining antiretroviral agents in a single dosage form enhance quality of life of HIV/AIDS patients?,HALLUCINATED,HALLUCINATED.,hard
The inverse equity hypothesis: does it apply to coverage of cancer screening in middle-income countries?,REAL,CORRECT,hard
Identification of racial disparities in breast cancer mortality: does scale matter?,HALLUCINATED,CORRECT,easy
Does the leukocyte count correlate with the severity of injury?,HALLUCINATED,HALLUCINATED.,easy
Can transcranial direct current stimulation be useful in differentiating unresponsive wakefulness syndrome from minimally conscious state patients?,HALLUCINATED,CORRECT,hard
Aromatase inhibitor-related musculoskeletal symptoms: is preventing osteoporosis the key to eliminating these symptoms?,REAL,CORRECT,hard
Could different follow-up modalities play a role in the diagnosis of asymptomatic endometrial cancer relapses?,HALLUCINATED,CORRECT,hard
Locoregional opening of the rodent blood-brain barrier for paclitaxel using Nd:YAG laser-induced thermo therapy: a new concept of adjuvant glioma therapy?,REAL,CORRECT,hard
Preoperative tracheobronchoscopy in newborns with esophageal atresia: does it matter?,REAL,CORRECT,medium
Is horizontal semicircular canal ocular reflex influenced by otolith organs input?,HALLUCINATED,HALLUCINATED.,medium
Is perforation of the appendix a risk factor for tubal infertility and ectopic pregnancy?,HALLUCINATED,HALLUCINATED.,medium
Serovar specific immunity to Neisseria gonorrhoeae: does it exist?,REAL,CORRECT,hard
May student examiners be reasonable substitute examiners for faculty in an undergraduate OSCE on medical emergencies?,REAL,CORRECT,hard
Are endothelial cell patterns of astrocytomas indicative of grade?,REAL,CORRECT,medium
Do healthier lifestyles lead to less utilization of healthcare resources?,REAL,HALLUCINATED.,hard
Antral follicle assessment as a tool for predicting outcome in IVF--is it a better predictor than age and FSH?,REAL,CORRECT,medium
Do all ethnic groups in New Zealand exhibit socio-economic mortality gradients?,HALLUCINATED,CORRECT,easy
Can normal knee kinematics be restored with unicompartmental knee replacement?,HALLUCINATED,HALLUCINATED,medium
Are serum leptin levels a prognostic factor in advanced lung cancer?,HALLUCINATED,HALLUCINATED.,hard
Is fetal gender associated with emergency department visits for asthma during pregnancy?,HALLUCINATED,HALLUCINATED.,medium
Stretch-sensitive KCNQ1 mutation A link between genetic and environmental factors in the pathogenesis of atrial fibrillation?,REAL,CORRECT,medium
Are adult body circumferences associated with height?,HALLUCINATED,HALLUCINATED.,easy
Would corrected QT dispersion predict left ventricular hypertrophy in hypertensive patients?,HALLUCINATED,HALLUCINATED,easy
Traumatic aortic injury: does the anatomy of the aortic arch influence aortic trauma severity?,HALLUCINATED,HALLUCINATED.,hard
Inpatient versus outpatient management of neutropenic fever in gynecologic oncology patients: is risk stratification useful?,HALLUCINATED,HALLUCINATED.,easy
Should chest wall irradiation be included after mastectomy and negative node breast cancer?,HALLUCINATED,HALLUCINATED.,easy
Can bisphosphonate treatment be stopped in a growing child with skeletal fragility?,HALLUCINATED,HALLUCINATED.,hard
"Regional anesthesia as compared with general anesthesia for surgery in geriatric patients with hip fracture: does it decrease morbidity, mortality, and health care costs?",HALLUCINATED,HALLUCINATED.,hard
Does blood pressure change in treated hypertensive patients depending on whether it is measured by a physician or a nurse?,HALLUCINATED,CORRECT,easy
Treadmill testing of children who have spina bifida and are ambulatory: does peak oxygen uptake reflect maximum oxygen uptake?,HALLUCINATED,CORRECT,hard
Is the probability of prenatal diagnosis or termination of pregnancy different for fetuses with congenital anomalies conceived following assisted reproductive techniques?,REAL,CORRECT,hard
Is there a relationship between complex fractionated atrial electrograms recorded during atrial fibrillation and sinus rhythm fractionation?,HALLUCINATED,HALLUCINATED.,medium
Does rural or urban residence make a difference to neonatal outcome in premature birth?,HALLUCINATED,HALLUCINATED.,easy
Is the use of cyanoacrylate in intestinal anastomosis a good and reliable alternative?,REAL,CORRECT,medium
Is trabecular bone related to primary stability of miniscrews?,REAL,CORRECT,medium
"Is there any evidence of a ""July effect"" in patients undergoing major cancer surgery?",HALLUCINATED,CORRECT,hard
Is it necessary to insert a nasobiliary drainage tube routinely after endoscopic clearance of the common bile duct in patients with choledocholithiasis-induced cholangitis?,HALLUCINATED,HALLUCINATED.,medium
Storage of vaccines in the community: weak link in the cold chain?,REAL,CORRECT,hard
Is the clinically positive axilla in breast cancer really a contraindication to sentinel lymph node biopsy?,HALLUCINATED,HALLUCINATED.,easy
Convulsions and retinal haemorrhage: should we look further?,REAL,CORRECT,easy
Are patients willing participants in the new wave of community-based medical education in regional and rural Australia?,REAL,CORRECT,easy
Can Flexible Instruments Create Adequate Femoral Tunnel Lengths at 90° of Knee Flexion in Anterior Cruciate Ligament Reconstruction?,HALLUCINATED,HALLUCINATED,medium
Quality of life in lung cancer patients: does socioeconomic status matter?,HALLUCINATED,HALLUCINATED.,easy
Are Biochemical Markers of Bone Turnover Representative of Bone Histomorphometry in 370 Postmenopausal Women?,HALLUCINATED,HALLUCINATED.,easy
Should early extubation be the goal for children after congenital cardiac surgery?,REAL,CORRECT,easy
Does delivery mode affect women's postpartum quality of life in rural China?,REAL,CORRECT,easy
Menopausal hormone therapy and irregular endometrial bleeding: a potential role for uterine natural killer cells?,REAL,CORRECT,easy
Percutaneous ethanol injection for benign cystic thyroid nodules: is aspiration of ethanol-mixed fluid advantageous?,REAL,CORRECT,hard
Can the growth rate of a gallbladder polyp predict a neoplastic polyp?,REAL,CORRECT,hard
Are performance measurement systems useful?,HALLUCINATED,HALLUCINATED.,hard
Does para-cervical block offer additional advantages in abortion induction with gemeprost in the 2nd trimester?,HALLUCINATED,HALLUCINATED.,hard
Does insulin resistance drive the association between hyperglycemia and cardiovascular risk?,HALLUCINATED,HALLUCINATED.,medium
Are there risk factors that increase the rate of staple line leakage in patients undergoing primary sleeve gastrectomy for morbid obesity?,REAL,CORRECT,hard
Chronic functional somatic symptoms: a single syndrome?,REAL,CORRECT,easy
"Actinobaculum schaalii, a cause of urinary tract infections in children?",HALLUCINATED,HALLUCINATED,hard
Prevalence of chronic conditions among Medicare Part A beneficiaries in 2008 and 2010: are Medicare beneficiaries getting sicker?,HALLUCINATED,HALLUCINATED.,medium
Does successful completion of the Perinatal Education Programme result in improved obstetric practice?,HALLUCINATED,HALLUCINATED.,hard
Do patients with localized prostate cancer treatment really want more aggressive treatment?,HALLUCINATED,HALLUCINATED.,easy
Does music influence stress in mechanically ventilated patients?,REAL,CORRECT,hard
Does reducing spasticity translate into functional benefit?,HALLUCINATED,HALLUCINATED.,easy
Is the holmium:YAG laser the best intracorporeal lithotripter for the ureter?,REAL,CORRECT,medium
Metered-dose inhalers. Do health care providers know what to teach?,HALLUCINATED,HALLUCINATED,easy
Does the bracket-ligature combination affect the amount of orthodontic space closure over three months?,REAL,CORRECT,hard
Health habits and vaccination status of Lebanese residents: are future doctors applying the rules of prevention?,REAL,CORRECT,medium
Does vaginal intraepithelial neoplasia have the same evolution as cervical intraepithelial neoplasia?,HALLUCINATED,HALLUCINATED.,medium
Should general practitioners call patients by their first names?,HALLUCINATED,HALLUCINATED,hard
Transesophageal echocardiographic assessment of left ventricular function in brain-dead patients: are marginally acceptable hearts suitable for transplantation?,REAL,CORRECT,hard
Attenuation of ischemia/reperfusion-induced ovarian damage in rats: does edaravone offer protection?,HALLUCINATED,HALLUCINATED.,medium
